Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
37.2,32.4,29.4,28.1,26.5,53.7,2,49.91,0
37.3,32.4,29.4,28.1,26.5,53.9,1.9,49.74,0
37.4,32.3,29.4,28,26.5,53.7,2.4,49.61,0
37.5,32.5,29.4,28,26.5,53.9,1.7,49.55,0
37.6,32.5,29.4,28,26.5,53.9,1.9,49.37,0
37.7,32.6,29.4,28,26.6,53.9,1.9,49.05,0
37.8,32.6,29.4,28,26.5,53.9,2,48.98,0
37.9,32.6,29.4,28,26.5,54.5,2.4,48.77,0
38,32.6,29.3,27.9,26.5,54.4,2.5,48.62,0
38.1,32.6,29.3,27.9,26.5,55,2.4,49.3,0
38.2,32.7,29.4,28,26.4,54.7,1.7,50.37,0
38.3,32.7,29.4,28.1,26.5,55.1,1.7,50.75,0
38.4,32.7,29.4,28.1,26.5,55.3,1.4,50.83,0
38.5,32.7,29.3,28,26.6,55.6,1.9,50.68,0
38.6,32.9,29.4,28.1,26.6,55.6,1.9,50.52,0
38.7,32.9,29.4,28.1,26.6,55.6,1.7,50.43,0
38.8,32.7,29.4,28,26.6,55.6,1.7,50.18,0
38.9,33,29.4,28,26.5,55.9,2.2,50,0
39,33,29.4,28,26.5,55.9,2.7,49.81,0
39.1,33,29.4,28.1,26.7,56.1,2.2,49.73,0
39.2,32.9,29.4,28,26.6,56.5,1.9,49.48,0
39.3,32.9,29.4,28,26.6,56.5,1.9,49.31,0
39.4,32.9,29.3,28,26.5,57,1.9,49.2,0
39.5,32.9,29.3,28,26.5,56.5,2,49.03,0
39.6,32.8,29.3,28,26.5,56.5,2,48.89,0
39.7,33,29.3,27.9,26.5,57.1,2.7,49.96,0
39.8,33,29.3,27.9,26.5,57.1,1.6,50.37,0
39.9,33,29.5,28,26.5,57.4,2.4,50.6,0
40,32.8,29.3,28,26.5,57.4,1.9,50.5,0
40.1,32.8,29.3,28,26.5,58.1,2.2,50.3,0
40.2,33,29.3,28,26.4,57.1,2.2,50.07,0
40.3,33,29.3,28,26.4,57.4,2,49.93,0
40.4,33.1,29.4,28.1,26.6,58.2,1.9,49.81,0
40.5,33.1,29.5,28.1,26.5,57.7,2,49.62,0
40.6,33,29.4,28,26.5,58.5,1.3,49.42,0
40.7,33,29.4,28,26.5,58.5,1.3,49.28,0
40.8,33.1,29.4,28.1,26.6,58.4,1.9,49.8,0
40.9,33.1,29.4,28.1,26.6,58.7,3,50.43,0
41,33.1,29.4,28.1,26.6,58.7,2,50.76,0
41.1,33.1,29.4,28,26.5,58.8,1.9,50.62,0
41.2,33.1,29.4,28,26.5,59.4,2,50.57,0
41.3,33,29.3,27.9,26.4,59.3,2,50.25,0
41.4,33.2,29.4,28,26.5,59,1.9,50.11,0
41.5,33.2,29.4,28,26.5,59,1.9,49.94,0
41.6,33.2,29.5,27.9,26.6,59.3,2.2,49.79,0
41.7,33,29.2,27.8,26.4,60.4,1.9,49.69,0
41.8,33,29.2,27.8,26.4,60.4,2,49.51,0
41.9,33.1,29.3,28,26.4,60.4,2,49.25,0
42,33.2,29.5,28,26.6,60.2,1.9,49.09,0
42.1,33.2,29.5,28,26.6,61.4,1.7,49.06,0
42.2,33.4,29.5,28.1,26.6,60.5,2,50,0
42.3,33.3,29.3,28.1,26.5,60.7,2.2,50.31,0
42.4,33.3,29.3,28.1,26.5,60.7,2.2,50.52,0
42.5,33.3,29.4,28,26.5,61,1.9,50.46,0
42.6,33.3,29.6,28.2,26.7,61,1.9,50.32,0
42.7,33.3,29.6,28.2,26.7,61.4,2,50.18,0
42.8,33.3,29.3,28,26.6,61.4,1.7,50.1,0
42.9,33.4,29.3,27.9,26.5,61.4,1.6,49.96,0
43,33.4,29.3,27.9,26.5,61.3,2,49.82,0
43.1,33.2,29.3,27.9,26.4,61.4,1.9,49.55,0
43.2,33.2,29.3,27.9,26.4,61.4,2.2,49.5,0
43.3,33.4,29.3,27.9,26.5,62.1,1.9,49.33,0
43.4,33.4,29.4,28.1,26.6,62.1,1.9,49.14,0
43.5,33.4,29.4,28.1,26.6,62.1,2,49.22,0
43.6,33.2,29.3,28,26.4,62.1,2.2,49.85,0
43.7,33.3,29.4,28,26.5,62.4,2,50.37,0
43.8,33.3,29.4,28,26.5,62.5,1.9,50.75,0
43.9,33.3,29.3,28,26.5,63,2.4,50.7,0
44,33.4,29.5,28.2,26.6,62.7,2,50.5,0
44.1,33.4,29.5,28.2,26.6,62.5,2.4,50.23,0
44.2,33.5,29.3,28.1,26.6,63.1,2.2,50.13,0
